,4% SWR,,,,,Dynamic SWR,,,,,3% SWR,,,,,,
Age,Historical account balance,CPI-adjusted,Withdrawals,CPI-adjusted,,Historical account balance,CPI-adjusted,Withdrawals,CPI-adjusted,,Historical account balance,CPI-adjusted,Withdrawals,CPI-adjusted,,CPI,CPI factor
40,1000000,1000000,40000,40000,,1000000,1000000,44417.90599,44417.90599,,1000000,1000000,30000,30000,,29.585,1
41,1009632,998939.7264,40428.59557,40000.44591,,1004985.688,994342.6204,44833.54649,44358.74721,,1020149,1009345.349,30321.44668,30000.33443,,29.902,1.010703622
42,1153061.29,1127588.749,40903.16039,39999.55928,,1142293.003,1117058.346,51190.39806,50059.53922,,1177597.84,1151583.256,30677.37029,29999.66946,,30.253,1.022590277
43,1054659.555,1018567.016,41416.93426,39999.56474,,1034692.6,999283.3704,46588.28945,44993.94592,,1087624.682,1050404.011,31062.70069,29999.67356,,30.633,1.035434623
44,1134021.141,1080921.939,41964.50904,39999.57042,,1105886.345,1054104.522,50040.4565,47697.37117,,1182504.169,1127134.807,31473.38178,29999.67782,,31.038,1.049123993
45,1210544.776,1135929.604,42627.00693,39999.5771,,1170405.167,1098264.107,53233.83585,49952.62569,,1275917.628,1197273.025,31970.2552,29999.68282,,31.528,1.06568644
46,1231452.496,1122007.61,43901.97735,40000.20531,,1177945.452,1073255.984,53866.36407,49079.01084,,1311618.11,1195048.534,32926.48302,30000.15398,,32.471,1.0975438
47,1109053.429,983111.4817,45124.21835,40000,,1049777.46,930566.7761,48276.51646,42794.32927,,1194170.11,1058562.478,33843.16377,30000,,33.375,1.128105459
48,1150745.834,978533.6195,47040.05408,40000.38323,,1083223.42,921116.1167,50108.74603,42609.83716,,1255009.625,1067194.053,35280.04056,30000.28743,,34.792,1.175990085
49,1191008.908,960545.1667,49596.75511,39999.63653,,1114834.045,899110.3651,51889.4231,41848.66649,,1316210.195,1061519.635,37197.56633,29999.7274,,36.683,1.239930145
50,1052039.581,801319.6568,52515.80193,40000.34327,,979716.0582,746232.1282,45894.89126,34957.31451,,1178865.939,897921.0166,39386.85144,30000.25746,,38.842,1.312883781
51,1063493.301,777195.1249,54734.49383,39999.67065,,993585.7216,726107.0459,46859.08248,34244.36283,,1212405.75,886019.5333,41050.87037,29999.75298,,40.483,1.368373613
52,1098336.589,777220.3625,56525.9422,39999.68108,,1030795.965,729426.3173,48957.71701,34644.14728,,1275371.193,902496.0749,42394.45665,29999.76081,,41.808,1.413159822
53,1156305.637,770046.1963,60064.22173,40000,,1089742.271,725718.0662,52140.50903,34723.17298,,1368480.879,911345.1168,45048.1663,30000,,44.425,1.501605543
54,966556.0559,579835.6386,66678.38432,40000.27036,,914853.4736,548819.3312,44112.01153,26462.7346,,1166870.623,700004.0699,50008.78824,30000.20277,,49.317,1.666948341
55,740329.3604,406923.2536,72773.36488,40000,,716359.0008,393747.906,34821.62878,19139.76567,,918842.2315,505043.1476,54580.02366,30000,,53.825,1.819334122
56,835646.5952,434237.7843,76975.49434,39999.76581,,853148.4823,443332.5149,41823.86358,21733.47197,,1081883.432,562192.9976,57731.62075,29999.82436,,56.933,1.924398625
57,935896.67,456780.3626,81956.39682,40000.21996,,1000850.05,488481.9695,49502.53288,24160.55708,,1263393.674,616620.8718,61467.29762,30000.16497,,60.617,2.048898654
